Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2020,KY,Full-Service Providers,2818425.00,1867406.00,1477126.00,0.00,NA,6162957.00
2020,LA,Full-Service Providers,2942989.00,1982599.00,1770445.00,948.00,NA,6696981.00
2020,MA,Full-Service Providers,2435652.00,804397.00,307106.00,0.00,NA,3547154.00
2020,MD,Full-Service Providers,2859564.00,719955.00,38078.00,0.00,NA,3617596.00
2020,ME,Full-Service Providers,724433.00,215779.00,33324.00,0.00,NA,973536.00
2020,MI,Full-Service Providers,5831461.00,3874728.00,1602394.00,469.00,NA,11309052.00
2020,MN,Full-Service Providers,3020236.00,2244659.00,1501592.00,1919.00,NA,6768406.00
2020,MO,Full-Service Providers,3922562.00,2495141.00,877402.00,1603.00,NA,7296708.00
2020,MS,Full-Service Providers,2010535.00,1368949.00,862202.00,0.00,NA,4241686.00
2020,MT,Full-Service Providers,604843.00,488052.00,137923.00,0.00,NA,1230818.00
2020,NC,Full-Service Providers,6672919.00,3989150.00,1630155.00,1236.00,NA,12293460.00
2020,ND,Full-Service Providers,526673.00,598966.00,735791.00,0.00,NA,1861430.00
2020,NE,Full-Service Providers,1135271.00,807988.00,853740.00,0.00,NA,2796999.00
2020,NH,Full-Service Providers,749214.00,201554.00,28077.00,0.00,NA,978845.00
2020,NJ,Full-Service Providers,4118138.00,1626506.00,152070.00,8733.00,NA,5905447.00
2020,NM,Full-Service Providers,942023.00,863824.00,507044.00,0.00,NA,2312891.00
2020,NV,Full-Service Providers,1624395.00,717762.00,626880.00,350.00,NA,2969387.00
2020,NY,Full-Service Providers,7975631.00,4259261.00,159167.00,40056.00,NA,12434114.00
2020,OH,Full-Service Providers,3413013.00,990251.00,688722.00,451.00,NA,5092436.00
2020,OK,Full-Service Providers,2350122.00,1463053.00,938950.00,0.00,NA,4752124.00
2020,OR,Full-Service Providers,2191867.00,1356357.00,804090.00,2423.00,NA,4354736.00
2020,PA,Full-Service Providers,5064378.00,936203.00,196365.00,0.00,NA,6196946.00
2020,RI,Full-Service Providers,622079.00,175720.00,22133.00,0.00,NA,819933.00
2020,SC,Full-Service Providers,3940889.00,2156567.00,1499264.00,0.00,NA,7596720.00
2020,SD,Full-Service Providers,595509.00,453276.00,228209.00,0.00,NA,1276994.00
2020,TN,Full-Service Providers,4420255.00,3535442.00,1089955.00,0.00,NA,9045652.00
2020,TX,Full-Service Providers,18322011.00,11030926.00,6341506.00,11314.00,NA,35705757.00
2020,UT,Full-Service Providers,1100682.00,942516.00,570991.00,5263.00,NA,2619452.00
2020,VA,Full-Service Providers,5542948.00,3898566.00,1026673.00,14431.00,NA,10482619.00
2020,VT,Full-Service Providers,421376.00,295914.00,153298.00,0.00,NA,870587.00
2020,WA,Full-Service Providers,3639303.00,2419765.00,1083050.00,9708.00,NA,7151826.00
2020,WI,Full-Service Providers,3271758.00,2412932.00,1615656.00,141.00,NA,7300487.00
2020,WV,Full-Service Providers,1283976.00,654036.00,867943.00,0.00,NA,2805954.00
2020,WY,Full-Service Providers,319940.00,320504.00,628104.00,0.00,NA,1268548.00
2020,US,Full-Service Providers,173742073.00,105064774.00,51346000.00,177898.00,NA,330330744.00
2020,CA,Restructured Retail Service Providers,5073830.00,6170016.00,1712572.00,19496.00,NA,12975914.00
2020,CT,Restructured Retail Service Providers,809930.00,1339636.00,283618.00,3479.00,NA,2436663.00
2020,DC,Restructured Retail Service Providers,88087.00,687762.00,14881.00,31906.00,NA,822637.00
2020,DE,Restructured Retail Service Providers,47643.00,202631.00,52663.00,0.00,NA,302937.00
2020,IL,Restructured Retail Service Providers,2091316.00,2634999.00,2346596.00,29507.00,NA,7102419.00
2020,MA,Restructured Retail Service Providers,2033309.00,2902533.00,595240.00,20159.00,NA,5551240.00
2020,MD,Restructured Retail Service Providers,691717.00,1852196.00,226033.00,38082.00,NA,2808028.00
2020,ME,Restructured Retail Service Providers,100232.00,263635.00,199446.00,0.00,NA,563313.00
2020,MI,Restructured Retail Service Providers,0.00,281750.00,255740.00,0.00,NA,537490.00
2020,MT,Restructured Retail Service Providers,1.00,6369.00,95062.00,0.00,NA,101432.00
2020,NH,Restructured Retail Service Providers,162754.00,419487.00,217575.00,0.00,NA,799816.00
2020,NJ,Restructured Retail Service Providers,638615.00,2734210.00,521971.00,16103.00,NA,3910900.00
2020,NV,Restructured Retail Service Providers,0.00,174741.00,42412.00,0.00,NA,217153.00
2020,NY,Restructured Retail Service Providers,1621175.00,5785615.00,761791.00,269453.00,NA,8438034.00
2020,OH,Restructured Retail Service Providers,3044154.00,3125891.00,2195357.00,1891.00,NA,8367293.00
2020,OR,Restructured Retail Service Providers,0.00,61576.00,85471.00,0.00,NA,147047.00
2020,PA,Restructured Retail Service Providers,2447614.00,2070194.00,2797982.00,36505.00,NA,7352295.00
2020,RI,Restructured Retail Service Providers,70760.00,390448.00,77880.00,3905.00,NA,542994.00
2020,VA,Restructured Retail Service Providers,0.00,187120.00,70075.00,0.00,NA,257195.00
2020,WA,Restructured Retail Service Providers,0.00,16686.00,57191.00,0.00,NA,73877.00
2020,US,Restructured Retail Service Providers,18921135.00,31307498.00,12609557.00,470487.00,NA,63308676.00
2020,CA,Energy-Only Providers,1809279.00,2311275.00,781043.00,13503.00,NA,4915100.00
2020,CT,Energy-Only Providers,310262.00,626139.00,142995.00,1098.00,NA,1080492.00
2020,DC,Energy-Only Providers,60598.00,377084.00,11899.00,19612.00,NA,469192.00
2020,DE,Energy-Only Providers,29068.00,143348.00,44906.00,0.00,NA,217321.00
2020,IL,Energy-Only Providers,1174269.00,1688316.00,1780020.00,22235.00,NA,4664840.00
2020,MA,Energy-Only Providers,1028626.00,1675849.00,356225.00,16949.00,NA,3077649.00
2020,MD,Energy-Only Providers,429258.00,1135627.00,157801.00,29084.00,NA,1751770.00
2020,ME,Energy-Only Providers,55298.00,148838.00,128108.00,0.00,NA,332244.00
2020,MI,Energy-Only Providers,0.00,200000.00,223784.00,0.00,NA,423784.00
2020,MT,Energy-Only Providers,1.00,2776.00,80322.00,0.00,NA,83098.00
2020,NH,Energy-Only Providers,84444.00,202657.00,116553.00,0.00,NA,403654.00
2020,NJ,Energy-Only Providers,454479.00,1793824.00,354027.00,12605.00,NA,2614936.00
2020,NV,Energy-Only Providers,0.00,140746.00,40412.00,0.00,NA,181159.00
2020,NY,Energy-Only Providers,688537.00,2635334.00,498167.00,158908.00,NA,3980946.00
2020,OH,Energy-Only Providers,1444986.00,1564296.00,1586763.00,1260.00,NA,4597306.00
2020,OR,Energy-Only Providers,0.00,32441.00,55063.00,0.00,NA,87504.00
2020,PA,Energy-Only Providers,1411864.00,1454508.00,2321424.00,28187.00,NA,5215982.00
2020,RI,Energy-Only Providers,36478.00,187459.00,37182.00,1975.00,NA,263093.00
2020,VA,Energy-Only Providers,0.00,156168.00,66054.00,0.00,NA,222221.00
2020,WA,Energy-Only Providers,0.00,7887.00,46308.00,0.00,NA,54195.00
2020,US,Energy-Only Providers,9017445.00,16484571.00,8829054.00,305416.00,NA,34636486.00
2020,CA,Delivery-Only Service,3264551.00,3858741.00,931529.00,5993.00,NA,8060814.00
2020,CT,Delivery-Only Service,499668.00,713497.00,140624.00,2381.00,NA,1356170.00
2020,DC,Delivery-Only Service,27489.00,310678.00,2983.00,12294.00,NA,353445.00
2020,DE,Delivery-Only Service,18575.00,59284.00,7757.00,0.00,NA,85616.00
2020,IL,Delivery-Only Service,917047.00,946684.00,566576.00,7273.00,NA,2437580.00
2020,MA,Delivery-Only Service,1004683.00,1226684.00,239015.00,3210.00,NA,2473591.00
2020,MD,Delivery-Only Service,262459.00,716569.00,68233.00,8998.00,NA,1056258.00
2020,ME,Delivery-Only Service,44934.00,114797.00,71338.00,0.00,NA,231069.00
2020,MI,Delivery-Only Service,0.00,81750.00,31956.00,0.00,NA,113706.00
2020,MT,Delivery-Only Service,0.00,3594.00,14741.00,0.00,NA,18335.00
2020,NH,Delivery-Only Service,78309.00,216831.00,101022.00,0.00,NA,396161.00
2020,NJ,Delivery-Only Service,184136.00,940386.00,167944.00,3498.00,NA,1295964.00
2020,NV,Delivery-Only Service,0.00,33995.00,2000.00,0.00,NA,35995.00
2020,NY,Delivery-Only Service,932638.00,3150281.00,263624.00,110545.00,NA,4457088.00
2020,OH,Delivery-Only Service,1599168.00,1561595.00,608593.00,631.00,NA,3769988.00
2020,OR,Delivery-Only Service,0.00,29135.00,30408.00,0.00,NA,59544.00
2020,PA,Delivery-Only Service,1035750.00,615687.00,476558.00,8318.00,NA,2136313.00
2020,RI,Delivery-Only Service,34282.00,202990.00,40699.00,1930.00,NA,279900.00
2020,VA,Delivery-Only Service,0.00,30952.00,4021.00,0.00,NA,34974.00
2020,WA,Delivery-Only Service,0.00,8799.00,10883.00,0.00,NA,19682.00
2020,US,Delivery-Only Service,9903690.00,14822928.00,3780503.00,165071.00,NA,28672191.00
2019,AK,Total Electric Industry,441887.00,522388.00,212081.00,0.00,NA,1176356.00
2019,AL,Total Electric Industry,4061182.00,2657626.00,1939949.00,0.00,NA,8658756.00
2019,AR,Total Electric Industry,1834859.00,1049648.00,1067717.00,49.00,NA,3952274.00
2019,AZ,Total Electric Industry,4317059.00,3013741.00,865241.00,1079.00,NA,8197120.00
2019,CA,Total Electric Industry,16763780.00,19052164.00,6405718.00,68402.00,NA,42290064.00
2019,CO,Total Electric Industry,2362565.00,2202661.00,1175300.00,9905.00,NA,5750431.00
2019,CT,Total Electric Industry,2732697.00,2035899.00,412704.00,24209.00,NA,5205509.00
2019,DC,Total Electric Industry,330687.00,974995.00,14774.00,33199.00,NA,1353655.00
2019,DE,Total Electric Industry,627984.00,421499.00,157386.00,0.00,NA,1206868.00
2019,FL,Total Electric Industry,14882751.00,8950252.00,1263326.00,7103.00,NA,25103431.00
2019,GA,Total Electric Industry,6979149.00,4751931.00,1998924.00,9608.00,NA,13739612.00
2019,HI,Total Electric Industry,884847.00,893824.00,936272.00,0.00,NA,2714942.00
2019,IA,Total Electric Industry,1805899.00,1230296.00,1599654.00,0.00,NA,4635849.00
2019,ID,Total Electric Industry,860048.00,493892.00,538026.00,0.00,NA,1891966.00
2019,IL,Total Electric Industry,5890958.00,4475930.00,2821770.00,39370.00,NA,13228027.00
2019,IN,Total Electric Industry,4182919.00,2593902.00,3334726.00,2218.00,NA,10113765.00
2019,KS,Total Electric Industry,1732742.00,1637848.00,853134.00,0.00,NA,4223724.00
2019,KY,Total Electric Industry,2869131.00,1990820.00,1624405.00,0.00,NA,6484356.00
2019,LA,Total Electric Industry,3035095.00,2163564.00,1979112.00,1079.00,NA,7178850.00
2019,MA,Total Electric Industry,4233106.00,4255443.00,935805.00,21138.00,NA,9445492.00
2019,MD,Total Electric Industry,3611327.00,2879566.00,290022.00,42367.00,NA,6823282.00
2019,ME,Total Electric Industry,857569.00,532119.00,257281.00,0.00,NA,1646968.00
2019,MI,Total Electric Industry,5273119.00,4313039.00,2114082.00,671.00,NA,11700911.00
2019,MN,Total Electric Industry,2906625.00,2369105.00,1636945.00,2383.00,NA,6915058.00
2019,MO,Total Electric Industry,3975602.00,2733866.00,924819.00,1855.00,NA,7636141.00
2019,MS,Total Electric Industry,2108801.00,1497763.00,936158.00,0.00,NA,4542721.00
2019,MT,Total Electric Industry,590943.00,515875.00,275675.00,0.00,NA,1382494.00
2019,NC,Total Electric Industry,6834017.00,4330825.00,1726559.00,1533.00,NA,12892934.00
2019,ND,Total Electric Industry,527970.00,633843.00,746677.00,0.00,NA,1908490.00
2019,NE,Total Electric Industry,1109655.00,836870.00,812630.00,0.00,NA,2759154.00
2019,NH,Total Electric Industry,903574.00,682119.00,251844.00,0.00,NA,1837537.00
2019,NJ,Total Electric Industry,4534973.00,4650585.00,710108.00,26513.00,NA,9922179.00
2019,NM,Total Electric Industry,859664.00,884212.00,492124.00,0.00,NA,2235999.00
2019,NV,Total Electric Industry,1544743.00,938867.00,762826.00,683.00,NA,3247118.00
2019,NY,Total Electric Industry,8995439.00,10556658.00,985033.00,346400.00,NA,20883531.00
2019,OH,Total Electric Industry,6464453.00,4469895.00,3292193.00,2574.00,NA,14229116.00
2019,OK,Total Electric Industry,2429743.00,1603441.00,1059116.00,0.00,NA,5092299.00
2019,OR,Total Electric Industry,2123882.00,1453026.00,858920.00,2461.00,NA,4438290.00
2019,PA,Total Electric Industry,7508619.00,3498024.00,3230283.00,44937.00,NA,14281864.00
2019,RI,Total Electric Industry,648292.00,597112.00,108412.00,4994.00,NA,1358809.00
2019,SC,Total Electric Industry,4048095.00,2344564.00,1643068.00,0.00,NA,8035727.00
2019,SD,Total Electric Industry,584266.00,468846.00,228300.00,0.00,NA,1281412.00
2019,TN,Total Electric Industry,4628861.00,3850725.00,1198249.00,0.00,NA,9677835.00
2019,TX,Total Electric Industry,18286991.00,11440049.00,7171361.00,12022.00,NA,36910422.00
2019,UT,Total Electric Industry,1013001.00,979491.00,567343.00,5498.00,NA,2565333.00
2019,VA,Total Electric Industry,5632066.00,4417182.00,1206041.00,15690.00,NA,11270978.00
2019,VT,Total Electric Industry,368721.00,309173.00,155930.00,0.00,NA,833823.00
2019,WA,Total Electric Industry,3544716.00,2561371.00,1209353.00,9341.00,NA,7324781.00
2019,WI,Total Electric Industry,3117985.00,2525071.00,1727052.00,171.00,NA,7370279.00
2019,WV,Total Electric Industry,1254560.00,693448.00,875173.00,0.00,NA,2823181.00
2019,WY,Total Electric Industry,318423.00,344712.00,695295.00,0.00,NA,1358431.00
2019,US,Total Electric Industry,187436037.00,145279763.00,68284892.00,737452.00,NA,401738144.00
2019,AK,Full-Service Providers,441887.00,522388.00,212081.00,0.00,NA,1176356.00
2019,AL,Full-Service Providers,4061182.00,2657626.00,1939949.00,0.00,NA,8658756.00
2019,AR,Full-Service Providers,1834859.00,1049648.00,1067717.00,49.00,NA,3952274.00
2019,AZ,Full-Service Providers,4317059.00,3013741.00,865241.00,1079.00,NA,8197120.00
2019,CA,Full-Service Providers,12937216.00,13263501.00,4731473.00,47049.00,NA,30979239.00
2019,CO,Full-Service Providers,2362565.00,2202661.00,1175300.00,9905.00,NA,5750431.00
2019,CT,Full-Service Providers,2003263.00,553892.00,93825.00,19888.00,NA,2670869.00
2019,DC,Full-Service Providers,237950.00,148576.00,0.00,0.00,NA,386526.00
2019,DE,Full-Service Providers,584807.00,193572.00,90361.00,0.00,NA,868741.00
2019,FL,Full-Service Providers,14882751.00,8950252.00,1263326.00,7103.00,NA,25103431.00
2019,GA,Full-Service Providers,6979149.00,4751931.00,1998924.00,9608.00,NA,13739612.00
2019,HI,Full-Service Providers,884847.00,893824.00,936272.00,0.00,NA,2714942.00
2019,IA,Full-Service Providers,1805899.00,1230296.00,1599654.00,0.00,NA,4635849.00
2019,ID,Full-Service Providers,860048.00,493892.00,538026.00,0.00,NA,1891966.00
2019,IL,Full-Service Providers,3703421.00,1609381.00,391600.00,0.00,NA,5704402.00
2019,IN,Full-Service Providers,4182919.00,2593902.00,3334726.00,2218.00,NA,10113765.00
2019,KS,Full-Service Providers,1732742.00,1637848.00,853134.00,0.00,NA,4223724.00
2019,KY,Full-Service Providers,2869131.00,1990820.00,1624405.00,0.00,NA,6484356.00
2019,LA,Full-Service Providers,3035095.00,2163564.00,1979112.00,1079.00,NA,7178850.00
2019,MA,Full-Service Providers,2441637.00,1146395.00,341574.00,0.00,NA,3929606.00
2019,MD,Full-Service Providers,2875854.00,795216.00,43875.00,0.00,NA,3714945.00
2019,ME,Full-Service Providers,746605.00,269904.00,37188.00,0.00,NA,1053697.00
2019,MI,Full-Service Providers,5273019.00,4020464.00,1825513.00,671.00,NA,11119666.00
2019,MN,Full-Service Providers,2906625.00,2369105.00,1636945.00,2383.00,NA,6915058.00
2019,MO,Full-Service Providers,3975602.00,2733866.00,924819.00,1855.00,NA,7636141.00
2019,MS,Full-Service Providers,2108801.00,1497763.00,936158.00,0.00,NA,4542721.00
2019,MT,Full-Service Providers,590942.00,507829.00,143849.00,0.00,NA,1242620.00
2019,NC,Full-Service Providers,6834017.00,4330825.00,1726559.00,1533.00,NA,12892934.00
2019,ND,Full-Service Providers,527970.00,633843.00,746677.00,0.00,NA,1908490.00
2019,NE,Full-Service Providers,1109655.00,836870.00,812630.00,0.00,NA,2759154.00
2019,NH,Full-Service Providers,730748.00,219265.00,28846.00,0.00,NA,978859.00
2019,NJ,Full-Service Providers,3943913.00,1678139.00,162937.00,5681.00,NA,5790670.00
2019,NM,Full-Service Providers,859664.00,884212.00,492124.00,0.00,NA,2235999.00
2019,NV,Full-Service Providers,1544743.00,783428.00,718787.00,683.00,NA,3047640.00
2019,NY,Full-Service Providers,7396800.00,4242625.00,172902.00,34076.00,NA,11846403.00
2019,OH,Full-Service Providers,3411939.00,1037200.00,742788.00,118.00,NA,5192045.00
2019,OK,Full-Service Providers,2429743.00,1603441.00,1059116.00,0.00,NA,5092299.00
2019,OR,Full-Service Providers,2123882.00,1386319.00,767113.00,2461.00,NA,4279776.00
2019,PA,Full-Service Providers,4946762.00,1036222.00,200423.00,0.00,NA,6183407.00
2019,RI,Full-Service Providers,573987.00,207866.00,26841.00,0.00,NA,808694.00
2019,SC,Full-Service Providers,4048095.00,2344564.00,1643068.00,0.00,NA,8035727.00
2019,SD,Full-Service Providers,584266.00,468846.00,228300.00,0.00,NA,1281412.00
2019,TN,Full-Service Providers,4628861.00,3850725.00,1198249.00,0.00,NA,9677835.00
2019,TX,Full-Service Providers,18286991.00,11440049.00,7171361.00,12022.00,NA,36910422.00
2019,UT,Full-Service Providers,1013001.00,979491.00,567343.00,5498.00,NA,2565333.00
2019,VA,Full-Service Providers,5632066.00,4389375.00,1142415.00,15690.00,NA,11179545.00
2019,VT,Full-Service Providers,368721.00,309173.00,155930.00,0.00,NA,833823.00
2019,WA,Full-Service Providers,3544716.00,2547946.00,1135494.00,9341.00,NA,7237497.00
2019,WI,Full-Service Providers,3117985.00,2525071.00,1727052.00,171.00,NA,7370279.00
2019,WV,Full-Service Providers,1254560.00,693448.00,875173.00,0.00,NA,2823181.00
2019,WY,Full-Service Providers,318423.00,344712.00,695295.00,0.00,NA,1358431.00
2019,US,Full-Service Providers,169867383.00,112035510.00,54782465.00,190159.00,NA,336875517.00
2019,CA,Restructured Retail Service Providers,3826564.00,5788663.00,1674245.00,21353.00,NA,11310825.00
2019,CT,Restructured Retail Service Providers,729434.00,1482007.00,318878.00,4322.00,NA,2534641.00
2019,DC,Restructured Retail Service Providers,92737.00,826420.00,14774.00,33199.00,NA,967129.00
2019,DE,Restructured Retail Service Providers,43176.00,227927.00,67024.00,0.00,NA,338127.00
2019,IL,Restructured Retail Service Providers,2187536.00,2866549.00,2430170.00,39370.00,NA,7523625.00
2019,MA,Restructured Retail Service Providers,1791469.00,3109048.00,594232.00,21138.00,NA,5515886.00
2019,MD,Restructured Retail Service Providers,735473.00,2084350.00,246147.00,42367.00,NA,3108337.00
2019,ME,Restructured Retail Service Providers,110964.00,262215.00,220093.00,0.00,NA,593272.00
2019,MI,Restructured Retail Service Providers,100.00,292575.00,288569.00,0.00,NA,581244.00
2019,MT,Restructured Retail Service Providers,1.00,8046.00,131827.00,0.00,NA,139874.00
2019,NH,Restructured Retail Service Providers,172826.00,462855.00,222998.00,0.00,NA,858679.00
2019,NJ,Restructured Retail Service Providers,591060.00,2972446.00,547171.00,20832.00,NA,4131509.00
2019,NV,Restructured Retail Service Providers,0.00,155439.00,44039.00,0.00,NA,199478.00
2019,NY,Restructured Retail Service Providers,1598639.00,6314034.00,812132.00,312324.00,NA,9037128.00
2019,OH,Restructured Retail Service Providers,3052515.00,3432695.00,2549405.00,2456.00,NA,9037071.00
2019,OR,Restructured Retail Service Providers,0.00,66707.00,91807.00,0.00,NA,158514.00
2019,PA,Restructured Retail Service Providers,2561857.00,2461802.00,3029861.00,44937.00,NA,8098457.00
2019,RI,Restructured Retail Service Providers,74305.00,389245.00,81571.00,4994.00,NA,550115.00
2019,VA,Restructured Retail Service Providers,0.00,27807.00,63627.00,0.00,NA,91434.00
2019,WA,Restructured Retail Service Providers,0.00,13425.00,73859.00,0.00,NA,87284.00
2019,US,Restructured Retail Service Providers,17568654.00,33244254.00,13502427.00,547293.00,NA,64862627.00
2019,CA,Energy-Only Providers,1380044.00,2322486.00,807892.00,14601.00,NA,4525022.00
2019,CT,Energy-Only Providers,323733.00,758388.00,175547.00,2793.00,NA,1260460.00
2019,DC,Energy-Only Providers,65316.00,461897.00,11995.00,21302.00,NA,560509.00
2019,DE,Energy-Only Providers,26855.00,165828.00,59004.00,0.00,NA,251687.00
