,YEAR,STATE,STATE_NAME,ELECTION_RESULT,CHANGE_IN_GOVT,COAL,GEOTHERMAL,HYDROELECTRIC CONVENTIONAL,NATURAL GAS,NUCLEAR,OTHER,OTHER BIOMASS,OTHER GASES,PETROLEUM,PUMPED STORAGE,SOLAR THERMAL AND PHOTOVOLTAIC,WIND,WOOD AND WOOD DERIVED FUELS,GENERATION_TOTAL,COAL (SHORT TONS),GEOTHERMAL (BILLION BTU),NATURAL GAS (MCF),OTHER GASES (BILLION BTU),PETROLEUM (BARRELS),Median Income,PRICE_INFLATION_RATE,ELECTRICITY_REVENUE_GROWTH,Carbon_dioxide(MT),Sulphur_dioxide(MT),Nitric_oxide(MT)
0,2001,AK,ALASKA,RED,0.0,0.0035757151940342263,0.0,0.014655823608936145,0.015239275313891184,0.0,0.012883822018362447,5.115598522555835e-05,0.0,0.023521673289939104,0.7161914177305996,1.778937501961067e-07,1.137282697439735e-05,0.00011078408390418392,0.01388399330994495,0.005399003885671228,0.0,0.022882567413442294,0.0,0.025847408312207956,57363.0,0.06711491412392605,0.07373992519327562,0.017295079944829667,0.006623300341027641,0.04323792140543704
1,2001,AL,ALABAMA,RED,0.0,0.4572495141109341,0.0,0.09101057734077667,0.03760406965269802,0.3074584794911667,0.014961960802791077,0.005922891043023583,0.03152717981028387,0.011145633047614156,0.7161914177305996,1.778937501961067e-07,0.0,0.6709276671769835,0.25935131113481685,0.30788082434683395,0.0,0.04805508867095686,0.051080153442358174,0.014784651192722452,35160.0,0.008211320780853128,-0.05107358098777174,0.294600575226325,0.4054275119009004,0.42488976623995
2,2001,AR,ARKANSAS,RED,0.0,0.1568398635766898,0.0,0.027753384297083395,0.010589321399432083,0.14970087600101833,0.012946613093461849,0.0025574697541267065,0.0,0.022102930138831713,0.7161914177305996,1.778937501961067e-07,0.0,0.24203600000385872,0.09759913324611726,0.1371037800253727,0.0,0.014917168588191856,0.0,0.02252604791048665,33339.0,0.05937959828211788,0.05205835710698456,0.1064826637565072,0.07346997817072422,0.12433475351780851
3,2001,AZ,ARIZONA,RED,0.0,0.25371990531176647,0.0,0.08302935948635912,0.050354987464326824,0.2909194717469445,0.012883822018362447,0.013419549428626361,0.0,0.008181362776007856,0.8045273968527,1.7437823084699318e-05,0.0,0.00011078408390418392,0.18601445515781215,0.18399585729803342,0.0,0.0685749341005029,0.0,0.010114258299804791,42704.0,0.04576790972227229,0.021300963529583807,0.1757379300201289,0.05848843223719393,0.2200682482131963
4,2001,CA,CALIFORNIA,BLUE,0.0,0.014141228857059812,0.9294932139186264,0.27817919173164823,0.43786835968815546,0.3364496458806988,0.06724129279002677,0.7148541082374975,0.18843251676392492,0.07568950063503124,0.6043897853997194,0.01914038063434404,0.04185269639832845,0.5345087790887806,0.41095765384803495,0.0088028700289743,0.9464006655141676,0.5441986913093428,0.20317026561304166,0.09252861793662977,47262.0,0.2786278679605864,0.20260392934750243,0.2679170207930112,0.03599989479867096,0.26509917318480086
5,2001,CO,COLORADO,RED,0.0,0.22768725073328908,0.0,0.016278974671020102,0.03673995393710902,0.0,0.012883822018362447,0.022087976432330514,0.0,0.004782714125881297,0.6360760233067793,1.778937501961067e-07,0.0005816759717367068,0.00011078408390418392,0.09694504461660367,0.1772851300042786,0.0,0.04510692443620146,0.0,0.005557884263262441,49397.0,0.05274966264882082,0.053275248063714455,0.15837602824604188,0.0748875660795848,0.18102640154352062
6,2001,CT,CONNECTICUT,BLUE,0.0,0.02365968344566943,0.0,0.003118930606628096,0.015992942520388707,0.156253514503824,0.24409112680068648,0.3120274970422614,0.0002496812229039468,0.1278607242168247,0.7161914177305996,1.778937501961067e-07,0.0,0.00011078408390418392,0.06303253027377072,0.013758746509363094,0.0,0.017807816161016152,0.00041083862728250205,0.12859387735397407,53347.0,0.03478189273731957,0.02984615190439695,0.04264564506955009,0.028933872197918768,0.038171384357469855
7,2001,DC,DISTRICT OF COLUMBIA,BLUE,0.0,0.0,0.0,0.0,1.9152676440422978e-07,0.0,0.012883822018362447,5.115598522555835e-05,0.0,0.0034774980933337985,0.7161914177305996,1.778937501961067e-07,0.0,0.00011078408390418392,0.00018159416260180201,0.0,0.0,0.0,0.0,0.0051085825783605985,41169.0,-0.025351845656610833,0.00849382159342139,0.0005878616030929981,0.0006250712300665399,0.0004563107277660118
8,2001,DE,DELAWARE,BLUE,0.0,0.021333634938431507,0.0,0.0,0.006163339728238308,0.0,0.012883822018362447,5.115598522555835e-05,0.026179225234144902,0.042479315810056456,0.7161914177305996,1.778937501961067e-07,0.0,0.00011078408390418392,0.014016285362872872,0.013645857283091362,0.0,0.008044281733740806,0.047734753191629224,0.04502846891160008,49602.0,0.1394066981333336,0.12956163619614616,0.022720921251083662,0.031723460773054435,0.03167887628523388
9,2001,FL,FLORIDA,BLUE,0.0,0.43210408558730684,0.0,0.0016088178782215842,0.17044104072123062,0.3198789474033405,0.8232699063669193,0.6733169722049184,0.00010566898186345838,0.9999999999999999,0.7161914177305996,1.778937501961067e-07,0.0,0.29405518559999844,0.39512306195534463,0.2590052380642284,0.0,0.203636648329241,0.00011738246493785773,0.9999999999999999,36421.0,0.13678021094210124,0.1387864660550155,0.46196112220577057,0.48010905871110837,0.7419885227932168
