Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2006,PA,Full-Service Providers,5085172.00,622308.00,27536.00,8.00,NA,5735024.00
2006,RI,Full-Service Providers,427449.00,52013.00,2106.00,0.00,NA,481568.00
2006,SC,Full-Service Providers,1989801.00,329528.00,4462.00,0.00,NA,2323791.00
2006,SD,Full-Service Providers,353053.00,64084.00,2359.00,0.00,NA,419496.00
2006,TN,Full-Service Providers,2613978.00,448593.00,2043.00,1.00,NA,3064615.00
2006,TX,Full-Service Providers,9102596.00,1489895.00,139100.00,36.00,NA,10731627.00
2006,UT,Full-Service Providers,886169.00,108003.00,9164.00,4.00,NA,1003340.00
2006,VA,Full-Service Providers,3094648.00,392076.00,5178.00,1.00,NA,3491903.00
2006,VT,Full-Service Providers,306684.00,48436.00,401.00,0.00,NA,355521.00
2006,WA,Full-Service Providers,2704101.00,337998.00,25812.00,4.00,NA,3067915.00
2006,WI,Full-Service Providers,2550249.00,323822.00,6921.00,0.00,NA,2880992.00
2006,WV,Full-Service Providers,853995.00,132024.00,11768.00,1.00,NA,997788.00
2006,WY,Full-Service Providers,243240.00,55566.00,8060.00,0.00,NA,306866.00
2006,US,Full-Service Providers,120677627.00,16673766.00,745645.00,764.00,NA,138097802.00
2006,CA,Energy-Only Providers,24238.00,20523.00,837.00,1.00,NA,45599.00
2006,CT,Energy-Only Providers,35178.00,1066.00,62.00,0.00,NA,36306.00
2006,DC,Energy-Only Providers,3111.00,5826.00,468.00,1.00,NA,9406.00
2006,DE,Energy-Only Providers,829.00,1764.00,48.00,0.00,NA,2641.00
2006,IL,Energy-Only Providers,0.00,10231.00,717.00,0.00,NA,10948.00
2006,MA,Energy-Only Providers,194473.00,57927.00,1940.00,3.00,NA,254343.00
2006,MD,Energy-Only Providers,32843.00,31126.00,1234.00,5.00,NA,65208.00
2006,ME,Energy-Only Providers,674575.00,84694.00,2781.00,0.00,NA,762050.00
2006,MI,Energy-Only Providers,13.00,6399.00,168.00,0.00,NA,6580.00
2006,MT,Energy-Only Providers,0.00,1.00,18.00,0.00,NA,19.00
2006,NH,Energy-Only Providers,0.00,1329.00,88.00,0.00,NA,1417.00
2006,NJ,Energy-Only Providers,139.00,1643.00,537.00,6.00,NA,2325.00
2006,NV,Energy-Only Providers,0.00,0.00,18.00,0.00,NA,18.00
2006,NY,Energy-Only Providers,462794.00,176178.00,3249.00,5.00,NA,642226.00
2006,OH,Energy-Only Providers,258242.00,53432.00,824.00,0.00,NA,312498.00
2006,OR,Energy-Only Providers,0.00,250.00,33.00,0.00,NA,283.00
2006,PA,Energy-Only Providers,105525.00,43455.00,736.00,6.00,NA,149722.00
2006,RI,Energy-Only Providers,150.00,2884.00,184.00,0.00,NA,3218.00
2006,VA,Energy-Only Providers,1334.00,4.00,0.00,0.00,NA,1338.00
2006,WA,Energy-Only Providers,0.00,1.00,17.00,0.00,NA,18.00
2006,US,Energy-Only Providers,1793444.00,498733.00,13959.00,27.00,NA,2306163.00
2005,AK,Total Electric Industry,256717.00,44834.00,1123.00,0.00,NA,302674.00
2005,AL,Total Electric Industry,2037474.00,352197.00,8721.00,0.00,NA,2398392.00
2005,AR,Total Electric Industry,1260764.00,167772.00,31365.00,0.00,NA,1459901.00
2005,AZ,Total Electric Industry,2460694.00,267588.00,8097.00,0.00,NA,2736379.00
2005,CA,Total Electric Industry,12480545.00,1720108.00,79896.00,286.00,NA,14280835.00
2005,CO,Total Electric Industry,1994548.00,342535.00,12837.00,1.00,NA,2349921.00
2005,CT,Total Electric Industry,1428645.00,151270.00,5491.00,2.00,NA,1585408.00
2005,DC,Total Electric Industry,205471.00,26495.00,2.00,1.00,NA,231969.00
2005,DE,Total Electric Industry,373639.00,45701.00,574.00,0.00,NA,419914.00
2005,FL,Total Electric Industry,8090607.00,1075650.00,29672.00,25.00,NA,9195954.00
2005,GA,Total Electric Industry,3834400.00,513023.00,15361.00,1.00,NA,4362785.00
2005,HI,Total Electric Industry,395079.00,60147.00,684.00,0.00,NA,455910.00
2005,IA,Total Electric Industry,1300725.00,203350.00,5941.00,0.00,NA,1510016.00
2005,ID,Total Electric Industry,607158.00,90377.00,25259.00,0.00,NA,722794.00
2005,IL,Total Electric Industry,5008031.00,566595.00,6786.00,8.00,NA,5581420.00
2005,IN,Total Electric Industry,2690394.00,328735.00,19057.00,1.00,NA,3038187.00
2005,KS,Total Electric Industry,1190245.00,212305.00,17004.00,0.00,NA,1419554.00
2005,KY,Total Electric Industry,1881020.00,283511.00,6629.00,0.00,NA,2171160.00
2005,LA,Total Electric Industry,1899301.00,258307.00,18161.00,19.00,NA,2175788.00
2005,MA,Total Electric Industry,2596207.00,368026.00,14566.00,6.00,NA,2978805.00
2005,MD,Total Electric Industry,2115620.00,227818.00,13457.00,5.00,NA,2356900.00
2005,ME,Total Electric Industry,676430.00,85658.00,2842.00,0.00,NA,764930.00
2005,MI,Total Electric Industry,4284083.00,509964.00,13390.00,1.00,NA,4807438.00
2005,MN,Total Electric Industry,2211000.00,255645.00,8266.00,1.00,NA,2474912.00
2005,MO,Total Electric Industry,2602899.00,353952.00,10592.00,1.00,NA,2967444.00
2005,MS,Total Electric Industry,1202829.00,212504.00,7748.00,0.00,NA,1423081.00
2005,MT,Total Electric Industry,439314.00,95433.00,4547.00,0.00,NA,539294.00
2005,NC,Total Electric Industry,3929358.00,609842.00,10976.00,1.00,NA,4550177.00
2005,ND,Total Electric Industry,306720.00,54240.00,2328.00,0.00,NA,363288.00
2005,NE,Total Electric Industry,772373.00,146759.00,37130.00,0.00,NA,956262.00
2005,NH,Total Electric Industry,580535.00,99217.00,3194.00,0.00,NA,682946.00
2005,NJ,Total Electric Industry,3341396.00,455286.00,13666.00,6.00,NA,3810354.00
2005,NM,Total Electric Industry,797024.00,128500.00,4030.00,0.00,NA,929554.00
2005,NV,Total Electric Industry,978989.00,136984.00,3360.00,17.00,NA,1119350.00
2005,NY,Total Electric Industry,6787382.00,988891.00,9217.00,27.00,NA,7785517.00
